beat,start,end,duration,frames,words,wps,transition,label,visual,audio
1,0.0,4.18,4.18,251,15,3.59,revealing,COOKED WRONG,A tomato sitting on a kitchen counter with a red stamp reading COOKED WRONG,audio/beat01.mp3
2,4.18,8.09,3.91,235,14,3.58,cut,MOST OF IT WASTED,A tomato with its goodness spilling out through a hole in the bottom,audio/beat02.mp3
3,8.09,12.0,3.91,235,14,3.58,cut,THE OPPOSITE,A health tips board with the rule crossed out and a reversing arrow,audio/beat03.mp3
4,12.0,15.34,3.34,200,12,3.59,cut,THE RULE YOU KNOW,A cookbook page reading cooking destroys nutrients with a big red X,audio/beat04.mp3
5,15.34,18.96,3.62,217,13,3.59,cut,BACKWARDS,The same rule page flipped upside down with a backwards arrow,audio/beat05.mp3
6,18.96,22.32,3.36,202,12,3.57,cut,MEASURED IN BLOOD,A scientist with a pan of tomatoes beside a rack of blood sample tubes,audio/beat06.mp3
7,22.32,25.68,3.36,202,12,3.57,cut,82%,A blood tube with lycopene molecules rising and a gauge climbing,audio/beat07.mp3
8,25.68,29.57,3.89,233,14,3.6,cut,ONLY WITH FAT,"Two pans side by side, one with oil rising, one flat lining",audio/beat08.mp3
9,29.57,32.93,3.36,202,12,3.57,cut,FLAT LINE,A completely flat graph line stamped NO SIGNIFICANT INCREASE,audio/beat09.mp3
10,32.93,36.55,3.62,217,13,3.59,cut,NOT A DIET BOOK,A document with an official randomised controlled trial stamp on it,audio/beat10.mp3
11,36.55,39.64,3.09,185,12,3.88,cut,STAY FOR THE NUMBER,A finger pointing at a big bold number with a question mark beside it,audio/beat11.mp3
12,39.64,42.73,3.09,185,12,3.88,cut,TWO MISTAKES,Two warning triangles labelled mistake one and mistake two,audio/beat12.mp3
13,42.73,45.82,3.09,185,12,3.88,switching,NOT ABOUT EATING MORE,A pile of vegetables with a person shrugging beside it,audio/beat13.mp3
14,45.82,48.91,3.09,185,12,3.88,cut,DOES IT REACH YOU,"Vegetables travelling down a tube toward a bloodstream, some bouncing off",audio/beat14.mp3
15,48.91,52.0,3.09,185,12,3.88,cut,SWALLOWED VS ABSORBED,"Two doors, one reading swallowed and one absorbed, only one open",audio/beat15.mp3
16,52.0,55.09,3.09,185,12,3.88,cut,WHERE ADVICE STOPS,A finish line labelled the swallow with the science starting just behind,audio/beat16.mp3
17,55.09,58.69,3.6,216,14,3.89,cut,WHAT'S COMING,Three numbered boxes on a hand drawn title card,audio/beat17.mp3
18,58.69,61.78,3.09,185,12,3.88,cut,THE HIDDEN COMPOUND,A tomato cut open revealing a hidden glowing molecule inside,audio/beat18.mp3
19,61.78,64.87,3.09,185,12,3.88,cut,THE MISTAKES,Two big red X marks over everyday cooking habits,audio/beat19.mp3
20,64.87,67.96,3.09,185,12,3.88,cut,WHAT IT DOES,A body outline with the compound glowing as it travels inside,audio/beat20.mp3
21,67.96,71.56,3.6,216,14,3.89,cut,THE EXACT WAY,A hand holding a tomato beside a checklist of numbered steps,audio/beat21.mp3
22,71.56,74.65,3.09,185,12,3.88,cut,NOT A SUPPLEMENT,"Supplement bottles and powder tubs crossed out, one tomato highlighted",audio/beat22.mp3
23,74.65,78.25,3.6,216,14,3.89,cut,ALREADY YOURS,A tomato with a tick and the word free stamped across it,audio/beat23.mp3
24,78.25,81.59,3.34,200,13,3.89,switching,LAST TIME,A person at a table looking thoughtfully at a single tomato,audio/beat24.mp3
25,81.59,85.19,3.6,216,14,3.89,cut,RAW ON A SALAD,"A sliced raw tomato on a salad plate, cold and firm",audio/beat25.mp3
